A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,10,1667592114291,"{""rt"": 7377, ""stimulus"": [""output/left_forward_vis_medium_audio_medium_mat_1_13.mp4""], ""response"": 1, ""stimulus2"": [""output/right_backward_vis_long_audio_high_mat_1_5.mp4""], ""delta_aspeed"": -1, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 8, ""time_elapsed"": 127157, ""internal_node_id"": ""0.0-1.0-0.7""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,11,1667592122131,"{""rt"": 7837, ""stimulus"": [""output/left_backward_vis_short_audio_high_mat_3_10.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_medium_mat_5_9.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 9, ""time_elapsed"": 134997, ""internal_node_id"": ""0.0-1.0-0.8""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,12,1667592128890,"{""rt"": 6756, ""stimulus"": [""output/control_trials/left_visual_medium_flat_backward_005_music.mp4""], ""response"": 0, ""stimulus2"": [""output/control_trials/right_visual_long_flat_forward_008_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 10, ""time_elapsed"": 141756, ""internal_node_id"": ""0.0-1.0-0.9""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,13,1667592138783,"{""rt"": 9890, ""stimulus"": [""output/left_forward_vis_long_audio_low_mat_5_6.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_high_mat_3_1.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 11, ""time_elapsed"": 151649, ""internal_node_id"": ""0.0-1.0-0.10""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,14,1667592145759,"{""rt"": 6973, ""stimulus"": [""output/left_backward_vis_medium_audio_high_mat_3_3.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_medium_mat_3_9.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 12, ""time_elapsed"": 158625, ""internal_node_id"": ""0.0-1.0-0.11""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,15,1667592152899,"{""rt"": 7137, ""stimulus"": [""output/left_forward_vis_medium_audio_medium_mat_3_6.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_high_mat_3_9.mp4""], ""delta_aspeed"": -1, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 13, ""time_elapsed"": 165765, ""internal_node_id"": ""0.0-1.0-0.12""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,16,1667592160141,"{""rt"": 7239, ""stimulus"": [""output/left_forward_vis_medium_audio_high_mat_3_4.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_low_mat_5_4.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 14, ""time_elapsed"": 173007, ""internal_node_id"": ""0.0-1.0-0.13""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,17,1667592168311,"{""rt"": 8167, ""stimulus"": [""output/left_backward_vis_long_audio_high_mat_3_4.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_medium_mat_3_7.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 15, ""time_elapsed"": 181177, ""internal_node_id"": ""0.0-1.0-0.14""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,18,1667592176210,"{""rt"": 7896, ""stimulus"": [""output/left_backward_vis_short_audio_medium_mat_3_14.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_low_mat_5_3.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 16, ""time_elapsed"": 189076, ""internal_node_id"": ""0.0-1.0-0.15""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,19,1667592182471,"{""rt"": 6258, ""stimulus"": [""output/control_trials/left_visual_long_flat_backward_003_music.mp4""], ""response"": 0, ""stimulus2"": [""output/control_trials/right_visual_medium_flat_backward_003_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 17, ""time_elapsed"": 195337, ""internal_node_id"": ""0.0-1.0-0.16""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,20,1667592190839,"{""rt"": 8364, ""stimulus"": [""output/left_forward_vis_short_audio_high_mat_1_7.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_low_mat_3_2.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 18, ""time_elapsed"": 203705, ""internal_node_id"": ""0.0-1.0-0.17""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,21,1667592198327,"{""rt"": 7485, ""stimulus"": [""output/left_forward_vis_long_audio_low_mat_5_8.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_low_mat_1_12.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 19, ""time_elapsed"": 211193, ""internal_node_id"": ""0.0-1.0-0.18""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,22,1667592206330,"{""rt"": 7999, ""stimulus"": [""output/control_trials/left_visual_short_flat_backward_002_music.mp4""], ""response"": 0, ""stimulus2"": [""output/control_trials/right_visual_short_flat_backward_006_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 20, ""time_elapsed"": 219196, ""internal_node_id"": ""0.0-1.0-0.19""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,23,1667592212458,"{""rt"": 6125, ""stimulus"": [""output/left_backward_vis_long_audio_medium_mat_1_7.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_low_mat_3_12.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 21, ""time_elapsed"": 225324, ""internal_node_id"": ""0.0-1.0-0.20""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,24,1667592220688,"{""rt"": 8227, ""stimulus"": [""output/left_forward_vis_long_audio_low_mat_3_14.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_high_mat_3_3.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 22, ""time_elapsed"": 233553, ""internal_node_id"": ""0.0-1.0-0.21""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,25,1667592228479,"{""rt"": 7788, ""stimulus"": [""output/left_forward_vis_long_audio_high_mat_5_8.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_high_mat_5_15.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 23, ""time_elapsed"": 241345, ""internal_node_id"": ""0.0-1.0-0.22""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,26,1667592234297,"{""rt"": 5815, ""stimulus"": [""output/left_forward_vis_medium_audio_medium_mat_1_4.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_medium_mat_3_7.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 24, ""time_elapsed"": 247163, ""internal_node_id"": ""0.0-1.0-0.23""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,27,1667592240257,"{""rt"": 5957, ""stimulus"": [""output/left_forward_vis_long_audio_low_mat_1_15.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_low_mat_5_9.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 25, ""time_elapsed"": 253122, ""internal_node_id"": ""0.0-1.0-0.24""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,28,1667592251197,"{""rt"": 10937, ""stimulus"": [""output/left_backward_vis_medium_audio_low_mat_1_2.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_low_mat_5_2.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 26, ""time_elapsed"": 264063, ""internal_node_id"": ""0.0-1.0-0.25""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,29,1667592294586,"{""rt"": 43386, ""stimulus"": [""output/left_forward_vis_medium_audio_high_mat_5_1.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_low_mat_5_5.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 27, ""time_elapsed"": 307452, ""internal_node_id"": ""0.0-1.0-0.26""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,30,1667592303595,"{""rt"": 9005, ""stimulus"": [""output/control_trials/left_visual_long_flat_forward_004_music.mp4""], ""response"": 1, ""stimulus2"": [""output/control_trials/right_visual_long_flat_forward_015_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 28, ""time_elapsed"": 316460, ""internal_node_id"": ""0.0-1.0-0.27""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,31,1667592310356,"{""rt"": 6758, ""stimulus"": [""output/control_trials/left_visual_short_flat_forward_006_music.mp4""], ""response"": 1, ""stimulus2"": [""output/control_trials/right_visual_long_flat_forward_002_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 29, ""time_elapsed"": 323222, ""internal_node_id"": ""0.0-1.0-0.28""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,32,1667592316576,"{""rt"": 6217, ""stimulus"": [""output/left_forward_vis_short_audio_low_mat_1_7.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_high_mat_1_12.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 30, ""time_elapsed"": 329442, ""internal_node_id"": ""0.0-1.0-0.29""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,33,1667592323685,"{""rt"": 7106, ""stimulus"": [""output/left_forward_vis_short_audio_low_mat_5_8.mp4""], ""response"": 1, ""stimulus2"": [""output/right_backward_vis_short_audio_low_mat_1_15.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 31, ""time_elapsed"": 336551, ""internal_node_id"": ""0.0-1.0-0.30""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,34,1667592329504,"{""rt"": 5816, ""stimulus"": [""output/left_forward_vis_long_audio_low_mat_5_14.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_low_mat_1_4.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 32, ""time_elapsed"": 342370, ""internal_node_id"": ""0.0-1.0-0.31""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,35,1667592337104,"{""rt"": 7597, ""stimulus"": [""output/control_trials/left_visual_long_flat_forward_011_music.mp4""], ""response"": 1, ""stimulus2"": [""output/control_trials/right_visual_short_flat_backward_009_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 33, ""time_elapsed"": 349970, ""internal_node_id"": ""0.0-1.0-0.32""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,36,1667592344153,"{""rt"": 7046, ""stimulus"": [""output/left_backward_vis_medium_audio_low_mat_5_3.mp4""], ""response"": 0, ""stimulus2"": [""output/right_forward_vis_long_audio_high_mat_3_9.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 34, ""time_elapsed"": 357019, ""internal_node_id"": ""0.0-1.0-0.33""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,37,1667592352443,"{""rt"": 8287, ""stimulus"": [""output/left_forward_vis_medium_audio_low_mat_1_3.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_high_mat_1_11.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 35, ""time_elapsed"": 365309, ""internal_node_id"": ""0.0-1.0-0.34""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,38,1667592360103,"{""rt"": 7656, ""stimulus"": [""output/left_backward_vis_long_audio_low_mat_1_13.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_high_mat_3_5.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 36, ""time_elapsed"": 372969, ""internal_node_id"": ""0.0-1.0-0.35""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,39,1667592383533,"{""rt"": 23426, ""stimulus"": [""output/left_forward_vis_long_audio_high_mat_3_10.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_short_audio_low_mat_5_9.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 37, ""time_elapsed"": 396398, ""internal_node_id"": ""0.0-1.0-0.36""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,40,1667592390052,"{""rt"": 6517, ""stimulus"": [""output/left_backward_vis_long_audio_low_mat_1_4.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_high_mat_1_10.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 38, ""time_elapsed"": 402918, ""internal_node_id"": ""0.0-1.0-0.37""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,41,1667592396162,"{""rt"": 6107, ""stimulus"": [""output/left_forward_vis_medium_audio_medium_mat_3_15.mp4""], ""response"": 1, ""stimulus2"": [""output/right_backward_vis_short_audio_medium_mat_1_2.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 39, ""time_elapsed"": 409028, ""internal_node_id"": ""0.0-1.0-0.38""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,42,1667592403034,"{""rt"": 6868, ""stimulus"": [""output/left_backward_vis_long_audio_low_mat_3_3.mp4""], ""response"": 0, ""stimulus2"": [""output/right_forward_vis_short_audio_high_mat_5_15.mp4""], ""delta_aspeed"": -2, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 40, ""time_elapsed"": 415900, ""internal_node_id"": ""0.0-1.0-0.39""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,43,1667592409993,"{""rt"": 6956, ""stimulus"": [""output/left_forward_vis_medium_audio_high_mat_5_2.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_low_mat_5_3.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": 0, ""trial_type"": ""video-button-response"", ""trial_index"": 41, ""time_elapsed"": 422859, ""internal_node_id"": ""0.0-1.0-0.40""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,44,1667592416782,"{""rt"": 6785, ""stimulus"": [""output/left_backward_vis_medium_audio_medium_mat_3_12.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_low_mat_5_10.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 42, ""time_elapsed"": 429648, ""internal_node_id"": ""0.0-1.0-0.41""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,45,1667592423072,"{""rt"": 6287, ""stimulus"": [""output/left_forward_vis_short_audio_high_mat_5_5.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_long_audio_low_mat_5_10.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 43, ""time_elapsed"": 435938, ""internal_node_id"": ""0.0-1.0-0.42""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,46,1667592438923,"{""rt"": 15849, ""stimulus"": [""output/left_forward_vis_long_audio_high_mat_3_10.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_medium_audio_medium_mat_1_3.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 44, ""time_elapsed"": 451789, ""internal_node_id"": ""0.0-1.0-0.43""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,47,1667592445711,"{""rt"": 6784, ""stimulus"": [""output/left_forward_vis_short_audio_high_mat_3_10.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_low_mat_5_4.mp4""], ""delta_aspeed"": 2, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 45, ""time_elapsed"": 458577, ""internal_node_id"": ""0.0-1.0-0.44""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,48,1667592451731,"{""rt"": 6017, ""stimulus"": [""output/left_forward_vis_long_audio_medium_mat_3_7.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_high_mat_3_15.mp4""], ""delta_aspeed"": -1, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 46, ""time_elapsed"": 464597, ""internal_node_id"": ""0.0-1.0-0.45""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,49,1667592458441,"{""rt"": 6707, ""stimulus"": [""output/left_backward_vis_long_audio_high_mat_1_10.mp4""], ""response"": 1, ""stimulus2"": [""output/right_forward_vis_short_audio_medium_mat_5_14.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": 2, ""trial_type"": ""video-button-response"", ""trial_index"": 47, ""time_elapsed"": 471307, ""internal_node_id"": ""0.0-1.0-0.46""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,50,1667592464481,"{""rt"": 6036, ""stimulus"": [""output/left_backward_vis_short_audio_medium_mat_1_2.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_high_mat_3_5.mp4""], ""delta_aspeed"": -1, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 48, ""time_elapsed"": 477346, ""internal_node_id"": ""0.0-1.0-0.47""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,51,1667592477714,"{""rt"": 13230, ""stimulus"": [""output/left_backward_vis_short_audio_low_mat_1_15.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_medium_mat_5_2.mp4""], ""delta_aspeed"": -1, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 49, ""time_elapsed"": 490580, ""internal_node_id"": ""0.0-1.0-0.48""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,52,1667592484242,"{""rt"": 6525, ""stimulus"": [""output/control_trials/left_visual_medium_flat_backward_008_music.mp4""], ""response"": 0, ""stimulus2"": [""output/control_trials/right_visual_short_flat_backward_004_music.mp4""], ""delta_aspeed"": 10000, ""delta_vspeed"": 1, ""trial_type"": ""video-button-response"", ""trial_index"": 50, ""time_elapsed"": 497108, ""internal_node_id"": ""0.0-1.0-0.49""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,53,1667592491231,"{""rt"": 6986, ""stimulus"": [""output/left_forward_vis_short_audio_medium_mat_5_14.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_medium_audio_medium_mat_5_8.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 51, ""time_elapsed"": 504097, ""internal_node_id"": ""0.0-1.0-0.50""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,54,1667592497730,"{""rt"": 6496, ""stimulus"": [""output/left_forward_vis_short_audio_medium_mat_1_5.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_medium_mat_5_5.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 52, ""time_elapsed"": 510596, ""internal_node_id"": ""0.0-1.0-0.51""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,55,1667592511990,"{""rt"": 14256, ""stimulus"": [""output/left_forward_vis_medium_audio_medium_mat_1_1.mp4""], ""response"": 1, ""stimulus2"": [""output/right_backward_vis_long_audio_medium_mat_3_6.mp4""], ""delta_aspeed"": 0, ""delta_vspeed"": -1, ""trial_type"": ""video-button-response"", ""trial_index"": 53, ""time_elapsed"": 524856, ""internal_node_id"": ""0.0-1.0-0.52""}"
A3RCCK8MEA6I3H:3HYA4D452SR28UFUDFXW514AEW9F26,56,1667592541310,"{""rt"": 29317, ""stimulus"": [""output/left_backward_vis_short_audio_medium_mat_3_12.mp4""], ""response"": 0, ""stimulus2"": [""output/right_backward_vis_long_audio_low_mat_1_14.mp4""], ""delta_aspeed"": 1, ""delta_vspeed"": -2, ""trial_type"": ""video-button-response"", ""trial_index"": 54, ""time_elapsed"": 554176, ""internal_node_id"": ""0.0-1.0-0.53""}"
